country,temperature,precipitation,gdp_per_capita,water_access,sanitation_access,political_stability,ccri_score,cassava_production,cassava_area,cassava_yield,cassava_volatility,maize_production,maize_area,maize_yield,maize_volatility,rice_production,rice_area,rice_yield,rice_volatility,sorghum_production,sorghum_area,sorghum_yield,sorghum_volatility,wheat_production,wheat_area,wheat_yield,wheat_volatility,yams_production,yams_area,yams_yield,yams_volatility,gdp_per_capita_lag1,water_access_lag1,sanitation_access_lag1,political_stability_lag1,temperature_lag1,precipitation_lag1,cassava_production_lag1,cassava_area_lag1,cassava_yield_lag1,cassava_volatility_lag1,maize_production_lag1,maize_area_lag1,maize_yield_lag1,maize_volatility_lag1,rice_production_lag1,rice_area_lag1,rice_yield_lag1,rice_volatility_lag1,sorghum_production_lag1,sorghum_area_lag1,sorghum_yield_lag1,sorghum_volatility_lag1,wheat_production_lag1,wheat_area_lag1,wheat_yield_lag1,wheat_volatility_lag1,yams_production_lag1,yams_area_lag1,yams_yield_lag1,yams_volatility_lag1,gdp_per_capita_lag2,water_access_lag2,sanitation_access_lag2,political_stability_lag2,temperature_lag2,precipitation_lag2,cassava_production_lag2,cassava_area_lag2,cassava_yield_lag2,cassava_volatility_lag2,maize_production_lag2,maize_area_lag2,maize_yield_lag2,maize_volatility_lag2,rice_production_lag2,rice_area_lag2,rice_yield_lag2,rice_volatility_lag2,sorghum_production_lag2,sorghum_area_lag2,sorghum_yield_lag2,sorghum_volatility_lag2,wheat_production_lag2,wheat_area_lag2,wheat_yield_lag2,wheat_volatility_lag2,yams_production_lag2,yams_area_lag2,yams_yield_lag2,yams_volatility_lag2
Angola,0.1155929395425172,0.004563969651692962,0.10774630305480155,2.6582223463608288,0.07187441216901028,0.11338738489023585,0.06006660683011893,0.130315396373956,0.014495831608855633,0.05774921656655696,0.3092501034746963,0.010993613872646142,0.04969499293986048,0.02112461187808482,0.04256602354318661,0.00631405953103018,0.03965769277337966,0.04866000365064355,0.03818118023136257,0.02898269553436092,0.016657044001513105,0.02248129579208945,0.0468327919656808,0.00939970764705589,0.00899433400316392,0.07333526729292997,0.1003616630776102,0.005238199497032072,0.008158106763059338,0.09401651823869282,0.014110833981593596,0.28777602013542547,0.22427745011025033,0.06666313262014013,0.041056923434597055,0.043897509162973435,0.009460068550547285,0.05062788027390868,0.008455685572814627,0.06370147032031437,0.2484372926848167,0.033825938245923545,0.0645259836411928,0.029231233136204963,0.05161949925717174,0.014320980768702965,0.03125893105687402,0.030005845557384753,0.011143660411806778,0.009860070816651282,0.028584122962452472,0.017185723151708902,0.036763462682197365,0.011094613426146207,0.01805828145311956,0.0788727484801396,0.10285383875703275,0.015551461018721624,0.009502120855366747,0.027146223622701145,0.011341408893932559,3.4313104217143,0.16715954929623922,0.09824048273219606,0.08329575421701473,0.12314430113761486,0.020465618244384327,0.06392533624139868,0.018302823616626326,0.04244286740199186,0.028391701682538895,0.024354865140742775,0.07319552668860077,0.014985945626323062,0.4145764926199687,0.08584929553010508,0.08299113207462107,0.07453709329435802,0.01793863324990919,0.019293042467929743,0.031172883262583967,0.01271455455286686,0.022307472727403566,0.1234479005764028,0.017954128180739364,0.09329364194519692,0.16207076157850278,0.012657034743912825,0.00701465783645645,0.012968140764068662,0.00860487388802376
Benin,0.07741887237562502,0.017683013323675407,0.05280051088552564,2.136593785435432,0.24313114984828169,0.2099728137255283,0.10453030811660777,0.15946002735322978,0.009868582963833257,0.022176917207831003,0.21129767289762147,0.01465360791519393,0.03320891749270392,0.0084139861238619,0.04231209790973026,0.055357069654940895,0.010637984529171605,0.07929208630370191,0.031122388493148547,0.01403244934581225,0.015433830234793106,0.04299975584633403,0.04581795128125302,0.00400214392871464,0.024291037253771457,0.13589197087400165,0.0703994177089132,0.024560060236863426,0.008479957683860746,0.302204538022596,0.023924629279917484,0.1743426367219728,0.13385293807660945,0.07775573340255997,0.07401388178183944,0.03563575925520944,0.013432271222419108,0.07742330682714675,0.004631289377908681,0.015541846537155042,0.12767865182724647,0.057183294772814926,0.02506329842876679,0.010702820869990493,0.017238577838138647,0.02032694659151416,0.00410563942783211,0.024333888995287888,0.016313150858822817,0.009351166228711419,0.04951922211584353,0.013911109448872588,0.020945085151078447,0.03936113518194491,0.030259430837559546,0.08020880159120725,0.09750784508669444,0.02024474605115337,0.020127262192695478,0.11924687740654817,0.009681646849901249,3.0035822054140233,0.12443424398052767,0.0563177058065565,0.07769673003949663,0.10023883636841607,0.008760310301455432,0.051736914840141875,0.02371308746739295,0.024577673179331655,0.06599959833758685,0.017005922750542975,0.02193540902114056,0.022246673979705128,0.20168421287099025,0.018645796781781118,0.008312512987522247,0.04432491102050039,0.017407335949561672,0.013006237224684232,0.057850553434696146,0.01257271607233355,0.01129166291268051,0.07191488226836706,0.020580496793534808,0.1337641623911641,0.1082548547025611,0.014727578120694286,0.03205484710838167,0.016184302847140668,0.008169720048012143
Burkina Faso,0.1956572021898149,0.01771290090206067,0.03127682864847814,0.9283824319314612,0.026224835658452274,0.08714705269716957,0.014226446401421677,0.4379171313603879,0.033524427233185584,0.055833972452497695,0.3950295903888075,0.006121476530381232,0.03613072456577534,0.01422040423682808,0.021150774628423036,0.0469260005419755,0.03099644437890796,0.04361155254829175,0.03805178141480154,0.02359643110163763,0.022052762427040525,0.05069614688156802,0.04225785808611549,0.01304285601549245,0.05145372616951598,0.1421345296907696,0.1132434240845964,0.02031016600334614,0.010230981183061505,0.17596312343738943,0.022084325473431067,0.277052654031217,0.07456096306952531,0.028508868832921013,0.04204390782985327,0.07873200449271095,0.007875907211987788,0.1887761786049944,0.0205899023254483,0.02153796617711755,0.24047722383890865,0.018625110314366155,0.031768024987251134,0.022929710843318254,0.04450484050876515,0.02851945120586821,0.010933783962314798,0.022786220439498895,0.03445282538104845,0.008048683805889276,0.03002739194809546,0.024734670216137667,0.027563733018196285,0.05068212222360097,0.05612672520380945,0.13267104047355308,0.14626929419146964,0.04091756872219311,0.018030532346215978,0.058341809178310555,0.025149658220145598,3.8263732001867563,0.060533998641389364,0.04874787121791315,0.07349361624073847,0.20751769076158375,0.025602318436123022,0.3573007674422148,0.03654227860072247,0.04495036262045961,0.05385513603271798,0.009074273411299322,0.02891377648516515,0.027726922650203052,0.23029169549169326,0.026830936635464347,0.01617322169348445,0.042183789823882066,0.04409219069299401,0.01434107032407318,0.04660000136293705,0.033517478410625565,0.017225627993966517,0.12808232793699392,0.03089052067935603,0.20166448185844357,0.17462727841335968,0.01347535346464436,0.004359626735150888,0.02710224433188151,0.017474863471966928
Burundi,0.5831015052775749,0.0032885516860941466,0.15428989084747888,0.8702493357377561,0.06667159707451455,0.1986762559787037,0.026217695906799766,0.24208055493934402,0.011396154426426677,0.016589117357011404,0.09999187529925364,0.007639329989937271,0.007941540067480657,0.0689929524971436,0.03173819289764637,0.023209389701455557,0.01816500371231315,0.0411556265947294,0.04801702100487969,0.012317528563156701,0.022576225823277545,0.04051290729217616,0.012500841467408534,0.06784383058496657,0.018342195301910266,0.27738734441206525,0.03371717349042125,0.2560010294035123,0.03211057678569266,0.02286862786075221,0.016936201442478895,0.9928192774969397,0.046137545765128074,0.055838806241201855,0.021949542979314392,0.21377082683274848,0.009269128823100312,0.1627242136649945,0.025034046468041526,0.0169126097772177,0.05987226821266224,0.026236086255437246,0.011301046541940063,0.06269163428248874,0.0248435249158341,0.014408487581515802,0.009998881816328534,0.03536419278013144,0.05290079028971953,0.006743501103497441,0.03912440167343057,0.025610262135379945,0.007096719719031731,0.16469515402746723,0.020041876703448338,1.2645029928991802,0.06265341212544003,0.3092300398581755,0.38641920090724946,0.013608908421987502,0.01572698479122983,11.546578969238835,0.033177095125835186,0.12935452794596355,0.11230020224012897,0.5024017933741026,0.002860316870412354,0.22419579506100232,0.004430377560511793,0.018991956614313715,0.03809187206547612,0.01647749991279826,0.022170964016064214,0.04622323279365656,0.12745027633233885,0.012765452112793238,0.011882336726501819,0.02300801099074524,0.014197356244102113,0.01195853312313499,0.010184781344922372,0.033698898567761704,0.008018685753002634,0.6125673497641647,0.01443833556289044,1.6411688490486283,0.04252886660715497,0.1631167257129464,0.13558832335840193,0.023380168976710424,0.003385917697105949
Cameroon,0.03242416321662481,0.005323074484148488,0.059381446767282,1.4712264215754245,0.039120028666663476,0.46532708139047135,0.08916026301756283,0.13235351337295584,0.005769673537289723,0.04956313619794933,0.21339611357889693,0.027688582243425696,0.03693351570700168,0.012716439873956056,0.03136683124216757,0.04937781963585363,0.015257949030416074,0.07288335224913876,0.01678721772951831,0.038211826161264145,0.06520881282516273,0.061023507128724265,0.03476832023864047,0.07234378547546472,0.009244602341092575,0.03669555779344121,0.052222086846321236,0.00799402460448215,0.009890551488664166,0.18860459824837505,0.020685008242007374,0.15998196063021797,0.1704013025487838,0.06056258134638948,0.07910941871452164,0.022413691637440263,0.007782841683405578,0.05226200492934022,0.007571345515339484,0.06409996720116452,0.15437376470332426,0.04157448599882835,0.02749594536387796,0.0371742280866549,0.013901140493470443,0.020625792355521505,0.008421895156259889,0.03871924866728319,0.017216119657069706,0.03603228761845206,0.06595664879760862,0.03270135553803809,0.03618782610221736,0.24678757608580248,0.015389806518467894,0.030454924279834976,0.028193579696683926,0.02028751433848054,0.016509613685756278,0.03369638043202354,0.018774086397647848,2.3043282429678285,0.08887711306940783,0.07926324982824437,0.23342426715566902,0.03158880705709135,0.010692841461008473,0.054739367432171275,0.016846127016129954,0.07722239623235849,0.050720314612549805,0.012820899694548202,0.04047274799611109,0.011367690193201661,0.23643995332059126,0.018855910759357383,0.02070364186011147,0.06935799793797504,0.02101045606241093,0.04393409685694997,0.1651277898341436,0.006197768732291187,0.018406158754128925,0.6014255635711232,0.03226800147392126,0.034460963431545644,0.07083541800349011,0.02311090158774203,0.01906109814803338,0.04714540068040805,0.016593318998320204
Central African Republic,0.26911638520041253,0.009337426412059549,0.0196629890873553,0.9429742534221004,0.013432042289275947,0.1848820862121591,0.08283834654250329,0.11367505060802094,0.013857565661278654,0.022317129403018766,0.11116781615368203,0.01855093182440647,0.013979277182192287,0.015361495291553433,0.04202901480711462,0.038319960879108696,0.018708006564382394,0.04368485918440243,0.03934004874323999,0.019919549288589303,0.004786288381633416,0.06798791157970543,0.011351686647377467,0.02356222776310107,0.06335960511275471,0.09163059677526444,0.1398755170001476,0.06286734224128575,0.0314589517846118,0.08398963737869196,0.02496832624692283,0.5764122760611166,0.08904099160314999,0.022504059204489675,0.030726078161366743,0.08724930257969808,0.007508637526056721,0.08669409735836121,0.01460374790897739,0.021144597460487434,0.09421071057430978,0.025420490365419296,0.007785332411762961,0.008482420812515086,0.037455200509699325,0.02916074855927937,0.004559843305165939,0.013565129047143248,0.008310929743954549,0.022623173395642612,0.006582158678076805,0.047730930771643774,0.025543199272958696,0.04988920988536534,0.09612213084611328,0.24010551731785632,0.16644192670470312,0.115921957082753,0.062319736303450876,0.02388009288428663,0.01586839178992482,7.284278647169521,0.06321201919930412,0.20122267758768156,0.09289981431732428,0.30555840440437265,0.01102726963949765,0.11845969901074023,0.0038634146165937694,0.016962883750173467,0.04148785900184206,0.009157995019282883,0.01802727378144826,0.008099155072713913,0.1369491627772471,0.04235986361458607,0.04117661514062882,0.02780563733334717,0.012485390810174688,0.022802391828592797,0.010492001771043908,0.08906987827905727,0.04525078161413441,0.34779767093126784,0.08564684308296662,0.36601739276894324,0.3114106388897211,0.053240361631237444,0.05403182350697973,0.018466687730005673,0.003241604016224118
Chad,0.06524675260057126,0.008460540532532645,0.026685084711980507,2.009354988203479,0.1653592133579053,0.1816633164268997,0.2663570619370108,0.05086416037644719,0.03373164597840168,0.04618044053444276,0.2663741720601389,0.02820196684099908,0.05299165982397438,0.01553563370705741,0.041409749350858345,0.0442498996679436,0.013369805536996892,0.0665692907433722,0.030152442488460274,0.07708704594276466,0.032326924708069936,0.03352559381290816,0.0937081010275594,0.02327038398547823,0.02384300020399532,0.0700642178556443,0.09616964627953131,0.004133901565628062,0.007446328799157125,0.24169211476893812,0.0106384159490236,0.16158794107919563,0.2477094385966379,0.10132732966657435,0.040881274063692526,0.025378405982869605,0.01829957333851334,0.021065216848982927,0.005053247126177343,0.034433971054633895,0.18848327899789893,0.04068736864307348,0.03802538076798503,0.01673365573115786,0.05762462492603068,0.015928545218406382,0.02107485061572041,0.05057561853986973,0.02551818213012136,0.03336940986268632,0.01182234778245608,0.005800386611375888,0.028116195211817227,0.07337179819163514,0.032451423664135844,0.08464693747723377,0.18297776672418858,0.023340804722673313,0.018174021574344022,0.06235681803884002,0.011717969509884822,2.646706551527927,0.2836739469668074,0.11696687371162498,0.1831531250476311,0.06014861549465383,0.019321642156932814,0.02699597894171435,0.028240654903593884,0.03614546368800427,0.06133699361809183,0.01748918234612542,0.057388401543924994,0.016472228606561376,0.19140358450515316,0.03374514561364408,0.011814822555634721,0.12067858170296636,0.027090734480562675,0.05327538229864213,0.0382875606579089,0.01346752503879722,0.025731110121616683,0.22240655072006196,0.027426360655293316,0.11908175863993128,0.17662811040245985,0.014113743738138243,0.007975150844095212,0.016472336405550864,0.004330375896274515
Comoros,0.04146936858121634,0.009020818518225683,0.07884299613079877,1.6721394522597524,0.11173250801072095,0.3608204096973858,0.06039301006923624,0.2350124857053315,0.019566904977244854,0.05416521608428978,0.1722065676017036,0.015538162567396529,0.46338735998735103,0.05262157434449221,0.07903223125287333,0.6408729635396995,0.018596371512140483,0.23122456373798234,0.03423875374910492,0.017323863742638713,0.022489191480995846,0.048402000226812514,0.015961071305866284,0.003637123556408307,0.021615796416083917,0.08515301236097156,0.07723840252785513,0.01331452687294561,0.010631642143490551,0.10404161242311045,0.010137309014470158,0.1980199884632124,0.1683755980888655,0.027746204943535243,0.06304263455389869,0.05362778791939449,0.010037942941133863,0.110197095730651,0.007233780468931835,0.04527294535379608,0.12381895686423246,0.029301598632635636,0.45789859944827566,0.06693975076391387,0.058747212982436306,0.07490020524780266,0.03392728759717889,0.09048152100981662,0.05525740591029211,0.021038826516968506,0.04908225195591189,0.022871705156717246,0.010988412588521169,0.0275823753597074,0.009183937938698372,0.07261705178864639,0.1138993398846304,0.049025024524600835,0.029349736483698697,0.052536215508148854,0.0076051668500267105,2.945215399885309,0.1354557927480556,0.03336739133328896,0.190948196620454,0.042132371652893096,0.03491358678439925,0.19497339292073704,0.04008611810664491,0.04467328326971694,0.20498093211190999,0.013735519995178075,0.40093401831416864,0.054543667081919135,0.22458484535771722,0.08308016252680069,0.059193958110784914,0.10995565231595401,0.006754819223736602,0.022031863190924292,0.055400205019604964,0.0073210768550458554,0.022967961557704145,0.08379470661307291,0.008361912759766808,0.10982499960868257,0.09019373867715762,0.02376975832944653,0.030709074771578804,0.03596251376522235,0.008166800119795509
Congo,0.03405105184161916,0.009746690296271267,0.16050085599363667,2.6711300944583205,0.09885456294973567,0.3950221530861518,0.09481857710970637,0.05236473142139815,0.006463350640439332,0.00955201252842769,0.1673808472308381,0.03301185599045113,0.08216620425802129,0.02781102767697698,0.15754631249259932,0.05898825832093415,0.01376533008384294,0.13168450088552472,0.03574150650277397,0.034255986916587405,0.03140608598516799,0.07283180991129327,0.029280126929110025,0.008240816952875225,0.0287258585431827,0.1257167431105742,0.11737457074114259,0.029906275311718546,0.007469650413848984,0.17029476459899356,0.02139211535971432,0.3545828881392783,0.2207568193334829,0.03895232318026003,0.08094066549778826,0.026832090979467014,0.008075261475239933,0.01374275050166425,0.00464887114214964,0.0105794018802427,0.15702013586988994,0.0605959906048398,0.058480251046894936,0.02838113034521203,0.10454700939463607,0.03906489738509065,0.03431931148118924,0.06669279648576454,0.017206293226665476,0.031905484989852934,0.061821631803327746,0.03691678379969552,0.012384752151580162,0.04687310093810293,0.01609034759880612,0.09442167340311763,0.13974489414069877,0.013215087482754231,0.008260892879818002,0.04683551784954877,0.006117533101020506,4.2000132401196035,0.17714930946440188,0.03143396749467792,0.22480439371806496,0.04224700143699761,0.008223124294079705,0.027725082202321078,0.010966304251493917,0.015596049708411476,0.27118674827581196,0.011047588459411485,0.04016008681121954,0.027386195611653393,0.36105242253356856,0.0655161503203975,0.06688734506563636,0.09727563986556453,0.010745704544673275,0.02950141576443699,0.09670604921851338,0.02548745319186887,0.02024887813700892,0.08320376467583242,0.012692702158349528,0.13585250738425284,0.11640079595214542,0.0061570828208035505,0.01158476371161554,0.02562807414409123,0.009676624841506203
Democratic Republic of the Congo,0.1942141862608921,0.00726490377519292,0.03481295821784277,1.0660059132442496,0.01080528849547809,0.1814479506171771,0.023775689277871742,0.16405868099969423,0.02659787989330123,0.02867669247395311,0.133346015522776,0.009556955292020273,0.020407482434463484,0.016783213305943966,0.026388735883313186,0.054235254161603505,0.015303272883487954,0.01951992246983474,0.014728346771770309,0.01884382680625781,0.004312706843400394,0.03838300629624945,0.013441996683973851,0.02925153132460992,0.05878679449618577,0.01772854315503607,0.05191440868190239,0.034419840090354904,0.006715678048225476,0.012582754700510361,0.01567053391002281,0.6051442666144087,0.11795015567633467,0.03878950921452658,0.03144633300818767,0.07387842156544346,0.0015811380095401212,0.11083031454767053,0.010640197084143273,0.02037191528738148,0.09740284894560929,0.020699158237818788,0.021437213126510618,0.004826622542343148,0.02990580053399016,0.030629880427149158,0.0064606660829260336,0.012306028977434281,0.010013660080970896,0.021133145213839383,0.003668326626343828,0.033537255596574535,0.03228096422517669,0.0852579286487818,0.0849135118518722,0.17114056975966238,0.04429829312692704,0.06048513730559681,0.05469803846363255,0.004578136532841217,0.011639004407024195,7.4436655737878805,0.10954899566418426,0.1580007393312317,0.0942613031855829,0.22987636725812302,0.006686242538367637,0.12426596482611502,0.0064524099179452165,0.02352136819048642,0.02977121220892363,0.012285391938583879,0.055351576939835286,0.004292768344138434,0.13262313297465939,0.02087339709536918,0.01576155732001976,0.031556839997960086,0.013873879886282215,0.020808217771348152,0.011263407493515239,0.07962293360404486,0.03967350852329376,0.395126092625653,0.058491739741127806,0.26583179350428643,0.0514548894424231,0.020037308312457494,0.022113651836702136,0.012475565661274883,0.001734520109564964
